title,type,price,private_owner,professional_name,floor_built,floor_area,floor,year_built,orientation,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,terrace,balcony,storeroom,swimming_pool,garden_area,location,district,postalcode
Flat / apartment for rent in Prosperidad,Flat,1300,False,Inmobiliaria Internacional CPM,82,75.0,1st,1997.0,south,2,2,True,True,False,True,True,False,False,True,False,", Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
"Flat / apartment for rent in avenida de Alberto de Alcocer, 41",Flat,1198,True,,70,,1st,,east,2,1,True,True,False,True,True,False,False,True,False,"Avenida de Alberto de Alcocer, 41, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28016.0
Flat / apartment for rent in Prosperidad,Flat,1250,True,,80,69.0,5th,,east,2,1,True,True,False,True,True,False,False,False,False,", Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
Flat / apartment for rent in Nueva España,Flat,1300,False,John Taylor,57,,4th,,west,1,1,True,True,True,True,False,False,False,True,False,", Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
"Flat / apartment for rent in calle de Rafael Herrera, 11",Flat,950,True,,55,47.0,9th,,,1,1,True,True,False,True,False,False,False,True,False,"Calle de Rafael Herrera, 11, Subdistrict Castilla, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28036.0
Flat / apartment for rent in Principe De Vergara,Flat,1700,False,ÁLAMO HOME,95,90.0,1st,,,2,2,True,True,False,True,False,False,False,False,False,"Principe De Vergara, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28006.0
"Flat / apartment for rent in calle de Costa Rica, 24",Flat,1400,False,Estudio Costa Rica S.L,86,,1st,1952.0,,3,1,True,True,False,True,False,False,False,False,False,"Calle de Costa Rica, 24, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28016.0
Flat / apartment for rent in Nueva España,Flat,2450,False,Domus Madrid Real Estate,93,,8th,1964.0,east,2,2,True,True,False,True,False,False,False,False,False,", Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
Flat / apartment for rent in calle de Cochabamba,Flat,1500,False,aproperties real estate assets spain,77,,1st,1960.0,south,2,2,True,True,False,True,False,True,False,False,False,"Calle de Cochabamba, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28006.0
"Flat / apartment for rent in calle de Juan Ramón Jiménez, 8",Flat,2000,True,,65,55.0,6th,,east,1,1,True,True,False,True,True,False,False,True,False,"Calle de Juan Ramón Jiménez, 8, Urb. Edificio Eurobuilding I, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28036.0
"Flat / apartment for rent in calle de Juan Ramón Jiménez, 8",Flat,2000,True,,80,70.0,6th,,east,1,1,True,True,False,True,True,False,False,True,False,"Calle de Juan Ramón Jiménez, 8, Urb. Edificio Eurobuilding I, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28036.0
Flat / apartment for rent in calle de Pradillo,Flat,1200,False,Alvencor,80,70.0,1st,,,2,1,True,True,False,True,False,False,False,False,False,"Calle de Pradillo, Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
Flat / apartment for rent in Castilla,Flat,1100,False,Buhservices CB,72,70.0,10th,,east,1,1,True,True,False,True,False,False,False,False,False,", Subdistrict Castilla, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
Flat / apartment for rent in calle del Príncipe de Vergara,Flat,1700,False,FIAG Asesores Inmobiliarios,85,75.0,1st,,east,2,2,True,True,False,True,False,False,False,False,False,"Calle del Príncipe de Vergara, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28006.0
Flat / apartment for rent in Av. de Pío XII,Flat,2570,False,BLUEGROUND ESPAÑA S.L.U.,70,69.0,4th,1979.0,,2,2,True,True,False,True,False,False,False,False,False,"Av. de Pío XII, Urb. Castilla, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
"Flat / apartment for rent in calle del Corazón de María, 70",Flat,1050,True,,58,,9th,,south,1,1,True,True,True,True,False,False,False,False,False,"Calle del Corazón de María, 70, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
Flat / apartment for rent in calle del General Zabala,Flat,1650,False,aproperties real estate assets spain,70,,2nd,2019.0,east,2,2,True,True,False,True,False,False,False,False,False,"Calle del General Zabala, Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
