titulo,zona,latitud,longitud,direccion_usada,geocoding_ok
"Piso en calle de Narciso Serra, 34, Pacífico, Madrid",retiro,40.4062505,-3.6774283,"calle de Narciso Serra, 34, Pacífico, Madrid, España",True
"Piso en calle de la Princesa, 2, Malasaña-Universidad, Madrid",centro,40.4245511,-3.7116462,"calle de la Princesa, 2, Madrid, España",True
"Piso en calle de López de Hoyos, Prosperidad, Madrid",chamartin,40.4498184,-3.6656374,"calle de López de Hoyos, Prosperidad, Madrid, España",True
"Dúplex en calle de Rufino Blanco, Fuente del Berro, Madrid",barrio-de-salamanca,40.4273929,-3.6660427,"calle de Rufino Blanco, Fuente del Berro, Madrid, España",True
"Casa o chalet independiente en Vista Alegre, Madrid",carabanchel,40.3742112,-3.744676,"carabanchel, Madrid, España",True
"Piso en calle del Arte, Costillares, Madrid",ciudad-lineal,40.4823723,-3.6723461,"calle del Arte, Costillares, Madrid, España",True
"Piso en calle de la Cordillera de Cuera, 26, San Diego, Madrid",puente-de-vallecas,40.3876894,-3.669009,"calle de la Cordillera de Cuera, 26, San Diego, Madrid, España",True
"Estudio en calle Trafalgar, 14, Trafalgar, Madrid",chamberi,40.4318866,-3.7004422,"calle Trafalgar, 14, Trafalgar, Madrid, España",True
"Piso en calle de Guillén de Castro, s/n, Pueblo Nuevo, Madrid",ciudad-lineal,40.4278895,-3.6442458,"calle de Guillén de Castro, s/n, Pueblo Nuevo, Madrid, España",True
"Piso en calle Sierra de Contraviesa, 25, Entrevías, Madrid",puente-de-vallecas,40.3833946,-3.6710886,"calle Sierra de Contraviesa, 25, Entrevías, Madrid, España",True
"Piso en calle de la Pilarica, Moscardó, Madrid",usera,40.3849023,-3.7031566,"calle de la Pilarica, Moscardó, Madrid, España",True
"Piso en calle del General Pardiñas, 3, Goya, Madrid",barrio-de-salamanca,40.4268857,-3.6784898,"calle del General Pardiñas, 3, Goya, Madrid, España",True
"Piso en calle de Antonio López Aguado, 9, La Paz, Madrid",fuencarral,40.4814786,-3.702755,"calle de Antonio López Aguado, 9, La Paz, Madrid, España",True
"Piso en calle de la Filósofa Simone Weil, Numancia, Madrid",puente-de-vallecas,40.4046784,-3.6619989,"calle de la Filósofa Simone Weil, Numancia, Madrid, España",True
"Chalet adosado en travesía los Nueve, Valdeacederas, Madrid",tetuan,40.4679108,-3.7034226,"Valdeacederas, Madrid, España",True
"Piso en calle del Canchal, Butarque, Madrid",villaverde,40.3460163,-3.6770118,"calle del Canchal, Butarque, Madrid, España",True
"Piso en calle Margaritas, Berruguete, Madrid",tetuan,40.4583796,-3.7075486,"calle Margaritas, Berruguete, Madrid, España",True
"Ático en paseo de Extremadura, Puerta del Ángel, Madrid",latina,40.4136842,-3.7282556,"paseo de Extremadura, Puerta del Ángel, Madrid, España",True
"Piso en Puerto de Almansa, 44, San Diego, Madrid",puente-de-vallecas,40.3921626,-3.6703487,"Puerto de Almansa, 44, San Diego, Madrid, España",True
"Ático en calle del Doctor Castelo, Ibiza, Madrid",retiro,40.4201916,-3.6726466,"calle del Doctor Castelo, Ibiza, Madrid, España",True
"Piso en calle del Maestro Guerrero, Malasaña-Universidad, Madrid",centro,40.4239784,-3.7103912,"calle del Maestro Guerrero, Madrid, España",True
"Piso en calle de Gregorio Ortiz, Villaverde Alto, Madrid",villaverde,40.3442274,-3.7077765,"calle de Gregorio Ortiz, Villaverde Alto, Madrid, España",True
"Piso en calle del Puerto Canfranc, 8, Numancia, Madrid",puente-de-vallecas,40.3963502,-3.663698,"calle del Puerto Canfranc, 8, Numancia, Madrid, España",True
"Dúplex en calle arturo soria, 224, Atalaya, Madrid",ciudad-lineal,40.4624409,-3.6641389,"calle arturo soria, 224, Atalaya, Madrid, España",True
"Ático en calle de Puenteareas, Prosperidad, Madrid",chamartin,40.4430207,-3.6702213,"calle de Puenteareas, Prosperidad, Madrid, España",True
"Piso en avenida de Buenos Aires, Palomeras Bajas, Madrid",puente-de-vallecas,40.3842604,-3.65323,"avenida de Buenos Aires, Palomeras Bajas, Madrid, España",True
"Dúplex en plaza de Chueca, 2, Chueca-Justicia, Madrid",centro,40.4225394,-3.6978673,"plaza de Chueca, 2, Chueca-Justicia, Madrid, España",True
"Piso en calle de Hortaleza, 57, Chueca-Justicia, Madrid",centro,40.4232894,-3.6990128,"calle de Hortaleza, 57, Chueca-Justicia, Madrid, España",True
"Piso en calle de Jaén, 11, Cuatro Caminos, Madrid",tetuan,40.4503901,-3.700868,"calle de Jaén, 11, Cuatro Caminos, Madrid, España",True
"Ático en calle de Villamayor de Santiago, 23, Ensanche de Vallecas - La Gavia, Madrid",villa-de-vallecas,40.3751968,-3.6081547,"calle de Villamayor de Santiago, 23, Madrid, España",True
"Piso en calle Adora, 1, San Fermín, Madrid",usera,40.3691573,-3.6899068,"calle Adora, 1, San Fermín, Madrid, España",True
"Piso en calle Hermanos de Pablo, Quintana, Madrid",ciudad-lineal,40.4365325,-3.6453632,"calle Hermanos de Pablo, Quintana, Madrid, España",True
"Piso en calle del Pico Balaitus, Peñagrande, Madrid",fuencarral,40.4789641,-3.7258417,"Peñagrande, Madrid, España",True
"Casa o chalet independiente en avenida de Fuentelarreina, s/n, Ciudad Universitaria, Madrid",moncloa,40.4438005,-3.7264206,"Ciudad Universitaria, Madrid, España",True
"Piso en calle de Puentedey, Ensanche de Vallecas - La Gavia, Madrid",villa-de-vallecas,40.3684772,-3.6140052,"calle de Puentedey, Madrid, España",True
"Piso en calle Garrovillas, Águilas, Madrid",latina,40.3803324,-3.7793025,"calle Garrovillas, Águilas, Madrid, España",True
"Casa o chalet independiente en calle de Zumárraga, El Plantío, Madrid",moncloa,40.4700616,-3.8206858,"El Plantío, Madrid, España",True
"Piso en calle de Arapiles, Arapiles, Madrid",chamberi,40.4328673,-3.7066507,"calle de Arapiles, Arapiles, Madrid, España",True
"Piso en calle de Ferraz, 34, Argüelles, Madrid",moncloa,40.4259579,-3.7169652,"calle de Ferraz, 34, Argüelles, Madrid, España",True
"Piso en calle de El Escorial, Malasaña-Universidad, Madrid",centro,40.4239888,-3.7034337,"calle de El Escorial, Malasaña-Universidad, Madrid, España",True
"Piso en paseo de la Castellana, 187, Cuzco-Castillejos, Madrid",tetuan,40.4617183,-3.6892115,"paseo de la Castellana, 187, Madrid, España",True
"Ático en calle de Velázquez, El Viso, Madrid",chamartin,40.4411726,-3.682791,"calle de Velázquez, El Viso, Madrid, España",True
"Piso en calle de Higinio Rodríguez, 30, Palomeras Bajas, Madrid",puente-de-vallecas,40.3853367,-3.6579829,"Palomeras Bajas, Madrid, España",True
"Piso en calle Lucano, s/n, Canillejas, Madrid",san-blas,40.4390407,-3.611289,"calle Lucano, s/n, Canillejas, Madrid, España",True
"Chalet pareado en Mirasierra, Madrid",fuencarral,40.426213,-3.7009931,"fuencarral, Madrid, España",True
"Piso en calle de Alcalá, 183, Sol, Madrid",centro,40.4174641,-3.7008369,"calle de Alcalá, 183, Sol, Madrid, España",True
"Piso en calle de Modesto Lafuente, Almagro, Madrid",chamberi,40.4366537,-3.6964178,"calle de Modesto Lafuente, Almagro, Madrid, España",True
"Chalet pareado en calle Trópico, Casco Histórico de Barajas, Madrid",barajas,40.4736752,-3.5781841,"Casco Histórico de Barajas, Madrid, España",True
"Piso en paseo del Prado, 34, Huertas-Cortes, Madrid",centro,40.4111353,-3.6931754,"paseo del Prado, 34, Madrid, España",True
"Piso en calle de la Santísima Trinidad, Trafalgar, Madrid",chamberi,40.4371443,-3.7011296,"calle de la Santísima Trinidad, Trafalgar, Madrid, España",True
"Piso en calle del Cerro del Carrasco, 13, Casco Histórico de Vallecas, Madrid",villa-de-vallecas,40.377742,-3.6213433,"calle del Cerro del Carrasco, 13, Casco Histórico de Vallecas, Madrid, España",True
"Dúplex en doctor arce, El Viso, Madrid",chamartin,40.4461112,-3.6821355,"doctor arce, El Viso, Madrid, España",True
"Piso en de Pont de Molins, Portazgo, Madrid",puente-de-vallecas,40.3932738,-3.6432528,"de Pont de Molins, Portazgo, Madrid, España",True
"Piso en calle de José Abascal, Almagro, Madrid",chamberi,40.4383141,-3.6970467,"calle de José Abascal, Almagro, Madrid, España",True
"Dúplex en calle de Amara, San Pascual, Madrid",ciudad-lineal,40.445542,-3.6492757,"calle de Amara, San Pascual, Madrid, España",True
"Ático en Adelfas, Madrid",retiro,40.4019026,-3.6709579,"Adelfas, Madrid, España",True
"Estudio en piamonte, Chueca-Justicia, Madrid",centro,40.4230818,-3.6934201,"piamonte, Chueca-Justicia, Madrid, España",True
"Piso en plaza del Conde del Valle de Súchil, Arapiles, Madrid",chamberi,40.4309983,-3.7072825,"plaza del Conde del Valle de Súchil, Arapiles, Madrid, España",True
"Piso en calle Algeciras, Palacio, Madrid",centro,40.411103,-3.7182063,"calle Algeciras, Palacio, Madrid, España",True
"Piso en calle de Barcelona, 5, Sol, Madrid",centro,40.4155679,-3.7025627,"calle de Barcelona, 5, Sol, Madrid, España",True
"Casa o chalet independiente en calle de Guisando, s/n, Ciudad Universitaria, Madrid",moncloa,40.4438005,-3.7264206,"Ciudad Universitaria, Madrid, España",True
"Piso en calle Maracena, 12 de Octubre-Orcasur, Madrid",usera,40.3692352,-3.6965387,"calle Maracena, Madrid, España",True
"Dúplex en calle Cronos, 20, Simancas, Madrid",san-blas,40.4369335,-3.6203857,"calle Cronos, 20, Simancas, Madrid, España",True
"Dúplex en Castellana, Madrid",barrio-de-salamanca,40.4333241,-3.6841316,"Castellana, Madrid, España",True
"Piso en calle de las Nebulosas, Delicias, Madrid",arganzuela,40.3958461,-3.6861061,"calle de las Nebulosas, Delicias, Madrid, España",True
"Piso en calle del Tesoro, Malasaña-Universidad, Madrid",centro,40.42505,-3.7052718,"calle del Tesoro, Malasaña-Universidad, Madrid, España",True
"Piso en calle de Colombia, Bernabéu-Hispanoamérica, Madrid",chamartin,40.4571387,-3.6774731,"calle de Colombia, Madrid, España",True
"Casa o chalet independiente en Amorabieta, El Plantío, Madrid",moncloa,40.4700616,-3.8206858,"El Plantío, Madrid, España",True
"Piso en calle de Nicolás Usera, Pradolongo, Madrid",usera,40.376647,-3.7077784,"Pradolongo, Madrid, España",True
"Piso en Hispanoamérica, Bernabéu-Hispanoamérica, Madrid",chamartin,40.4552736,-3.6772025,"Hispanoamérica, Madrid, España",True
"Piso en calle de Godella, 95, San Cristóbal, Madrid",villaverde,40.3406926,-3.6867978,"calle de Godella, 95, San Cristóbal, Madrid, España",True
"Piso en calle de Guzmán el Bueno, 41, Gaztambide, Madrid",chamberi,40.4336634,-3.7133859,"calle de Guzmán el Bueno, 41, Gaztambide, Madrid, España",True
"Piso en calle del Príncipe de Vergara, Bernabéu-Hispanoamérica, Madrid",chamartin,40.4463518,-3.6782586,"calle del Príncipe de Vergara, Madrid, España",True
"Piso en ronda de Toledo, Acacias, Madrid",arganzuela,40.4061727,-3.709254,"ronda de Toledo, Acacias, Madrid, España",True
"Piso en avenida de los Apóstoles, Puerta del Ángel, Madrid",latina,40.4065741,-3.7395426,"avenida de los Apóstoles, Puerta del Ángel, Madrid, España",True
"Piso en calle Goya, Goya, Madrid",barrio-de-salamanca,40.4248256,-3.6764798,"calle Goya, Goya, Madrid, España",True
"Piso en calle de Alenza, Nuevos Ministerios-Ríos Rosas, Madrid",chamberi,40.4443063,-3.7005359,"calle de Alenza, Madrid, España",True
"Piso en calle del Corazón de María, 2, Prosperidad, Madrid",chamartin,40.4400518,-3.6720937,"calle del Corazón de María, 2, Prosperidad, Madrid, España",True
"Piso en calle del Puerto Canfranc, Numancia, Madrid",puente-de-vallecas,40.3995283,-3.6596765,"Numancia, Madrid, España",True
"Estudio en calle del Mediodía Grande, Palacio, Madrid",centro,40.4100186,-3.7111545,"calle del Mediodía Grande, Palacio, Madrid, España",True
"Piso en calle de Sierra Elvira, 24, Numancia, Madrid",puente-de-vallecas,40.4050558,-3.6612382,"calle de Sierra Elvira, 24, Numancia, Madrid, España",True
"Piso en calle del Duque de Rivas, 6, Lavapiés-Embajadores, Madrid",centro,40.4133584,-3.706511,"calle del Duque de Rivas, 6, Madrid, España",True
"Piso en calle los Realejos, Pueblo Nuevo, Madrid",ciudad-lineal,40.4350329,-3.644171,"Pueblo Nuevo, Madrid, España",True
"Piso en calle de Antonio Arias, s/n, Ibiza, Madrid",retiro,40.4180386,-3.6714573,"calle de Antonio Arias, s/n, Ibiza, Madrid, España",True
"Piso en calle Escoriaza, 16, Los Ángeles, Madrid",villaverde,40.3523505,-3.694852,"calle Escoriaza, 16, Los Ángeles, Madrid, España",True
"Piso en calle Iglesia, Opañel, Madrid",carabanchel,40.3959597,-3.7179349,"calle Iglesia, Opañel, Madrid, España",True
"Piso en calle de Trafalgar, Trafalgar, Madrid",chamberi,40.432763,-3.7010403,"calle de Trafalgar, Trafalgar, Madrid, España",True
"Piso en calle Tinajo, Pueblo Nuevo, Madrid",ciudad-lineal,40.4282234,-3.6332237,"calle Tinajo, Pueblo Nuevo, Madrid, España",True
"Piso en calle de Ana de Austria, Sanchinarro, Madrid",hortaleza,40.4959447,-3.6557642,"calle de Ana de Austria, Sanchinarro, Madrid, España",True
"Piso en avenida de Valdemarín, Valdemarín, Madrid",moncloa,40.4672213,-3.7933193,"avenida de Valdemarín, Valdemarín, Madrid, España",True
"Piso en calle Herencia, 1, Hellín, Madrid",san-blas,40.4318753,-3.6124055,"calle Herencia, 1, Hellín, Madrid, España",True
"Piso en calle del Apóstol Santiago, 58, Ventas, Madrid",ciudad-lineal,40.4256536,-3.6547326,"calle del Apóstol Santiago, 58, Ventas, Madrid, España",True
"Piso en calle de la Virgen María, Niño Jesús, Madrid",retiro,40.3616468,-4.340966,"calle de la Virgen María, Madrid, España",True
"Piso en calle del Príncipe de Vergara, Ciudad Jardín, Madrid",chamartin,40.4463289,-3.6780909,"calle del Príncipe de Vergara, Ciudad Jardín, Madrid, España",True
"Chalet adosado en calle de Santa Ana Alta, 12, Tres Olivos - Valverde, Madrid",fuencarral,40.5005654,-3.6946962,"Tres Olivos - Valverde, Madrid, España",True
"Piso en avenida de la Aviación, 34, Cuatro Vientos, Madrid",latina,40.3814234,-3.7873112,"avenida de la Aviación, 34, Cuatro Vientos, Madrid, España",True
"Piso en calle de Astorga, Ventas, Madrid",ciudad-lineal,40.4299977,-3.6523672,"calle de Astorga, Ventas, Madrid, España",True
"Piso en calle de Serrano, Bernabéu-Hispanoamérica, Madrid",chamartin,40.4279245,-3.6873778,"calle de Serrano, Madrid, España",True
"Piso en calle de Entrepeñas, Ensanche de Vallecas - La Gavia, Madrid",villa-de-vallecas,40.3723932,-3.60788,"calle de Entrepeñas, Madrid, España",True
"Piso en plaza de la R. Dominicana, Nueva España, Madrid",chamartin,40.4625939,-3.6787346,"Nueva España, Madrid, España",True
"Piso en calle de Diego de León, 52, Lista, Madrid",barrio-de-salamanca,40.4345684,-3.6784133,"calle de Diego de León, 52, Lista, Madrid, España",True
"Chalet pareado en calle de Gomeznarro, Canillas, Madrid",hortaleza,40.4618893,-3.6433517,"Canillas, Madrid, España",True
"Piso en calle Humanitarias, Vista Alegre, Madrid",carabanchel,40.3876799,-3.7411235,"calle Humanitarias, Vista Alegre, Madrid, España",True
"Piso en calle de Luciente, Palacio, Madrid",centro,40.4104225,-3.7109456,"calle de Luciente, Palacio, Madrid, España",True
"Piso en padre cipriano, El Pardo, Madrid",fuencarral,40.5181502,-3.7778912,"padre cipriano, El Pardo, Madrid, España",True
"Piso en avenida del Doctor García Tapia, Marroquina, Madrid",moratalaz,40.4078902,-3.6333574,"avenida del Doctor García Tapia, Marroquina, Madrid, España",True
"Piso en calle del Monasterio de Liébana, 9, Montecarmelo, Madrid",fuencarral,40.5077321,-3.6962908,"calle del Monasterio de Liébana, 9, Montecarmelo, Madrid, España",True
"Ático en calle Arte Figurativo, s/n, Ensanche de Vallecas - La Gavia, Madrid",villa-de-vallecas,40.3589149,-3.5849567,"calle Arte Figurativo, Madrid, España",True
"Casa o chalet independiente en calle de Juan de Urbieta, Niño Jesús, Madrid",retiro,40.4110941,-3.6737205,"Niño Jesús, Madrid, España",True
"Chalet pareado en avenida de Jaca, s/n, Canillejas, Madrid",san-blas,40.4416267,-3.6093074,"Canillejas, Madrid, España",True
"Piso en calle Canencia de la Sierra, Ensanche de Vallecas - La Gavia, Madrid",villa-de-vallecas,40.366503,-3.6156636,"calle Canencia de la Sierra, Madrid, España",True
"Piso en calle de Hortaleza, 116, Chueca-Justicia, Madrid",centro,40.4229452,-3.699153,"calle de Hortaleza, 116, Chueca-Justicia, Madrid, España",True
"Piso en avenida de Betanzos, 64, Pilar, Madrid",fuencarral,40.4813304,-3.7128417,"avenida de Betanzos, 64, Pilar, Madrid, España",True
"Piso en calle de Gutierre de Cetina, Pueblo Nuevo, Madrid",ciudad-lineal,40.4274598,-3.6392729,"calle de Gutierre de Cetina, Pueblo Nuevo, Madrid, España",True
"Piso en calle vargas, Nuevos Ministerios-Ríos Rosas, Madrid",chamberi,40.4106621,-3.7347017,"calle vargas, Madrid, España",True
"Piso en calle Valmojado, 231, Aluche, Madrid",latina,40.3883783,-3.7582695,"calle Valmojado, 231, Aluche, Madrid, España",True
"Estudio en calle de Albasanz, 70, Simancas, Madrid",san-blas,40.4371535,-3.6284756,"calle de Albasanz, 70, Simancas, Madrid, España",True
"Piso en calle de Bravo Murillo, 109, Bellas Vistas, Madrid",tetuan,40.4481393,-3.7039687,"calle de Bravo Murillo, 109, Bellas Vistas, Madrid, España",True
"Piso en calle San Herculano, 5, Canillejas, Madrid",san-blas,40.4413625,-3.6101015,"calle San Herculano, 5, Canillejas, Madrid, España",True
"Piso en calle de los Sagrados Corazones, Puerta del Ángel, Madrid",latina,40.4065101,-3.7382309,"calle de los Sagrados Corazones, Puerta del Ángel, Madrid, España",True
"Piso en calle de Julia Mediavilla, 42, San Diego, Madrid",puente-de-vallecas,40.3904674,-3.6664715,"calle de Julia Mediavilla, 42, San Diego, Madrid, España",True
"Piso en calle de San Bernardo, 89, Malasaña-Universidad, Madrid",centro,40.4286664,-3.7062536,"calle de San Bernardo, 89, Malasaña-Universidad, Madrid, España",True
"Piso en calle de Carlos y Guillermo Fernández Shaw, Adelfas, Madrid",retiro,40.4019026,-3.6709579,"Adelfas, Madrid, España",True
"Piso en calle de Juan de Juanes, 3, Adelfas, Madrid",retiro,40.4019058,-3.6688143,"calle de Juan de Juanes, 3, Adelfas, Madrid, España",True
"Chalet adosado en Ciudad Jardín, Madrid",chamartin,40.4589872,-3.6761288,"chamartin, Madrid, España",True
"Casa o chalet independiente en calle Jimena Menéndez Pidal, 26, Valdemarín, Madrid",moncloa,40.4675501,-3.7822569,"Valdemarín, Madrid, España",True
"Piso en calle de Melilla, Acacias, Madrid",arganzuela,40.4003947,-3.709009,"calle de Melilla, Acacias, Madrid, España",True
"Piso en calle de Don Ramón de la Cruz, 89, Lista, Madrid",barrio-de-salamanca,40.4287653,-3.6768509,"calle de Don Ramón de la Cruz, 89, Lista, Madrid, España",True
"Piso en avenida del Mediterráneo, Estrella, Madrid",retiro,40.4066109,-3.6687324,"avenida del Mediterráneo, Estrella, Madrid, España",True
"Piso en calle de Somontín, 106, Apóstol Santiago, Madrid",hortaleza,40.4783434,-3.6589356,"calle de Somontín, 106, Apóstol Santiago, Madrid, España",True
"Ático en avenida del Ensanche de Vallecas, 106, Ensanche de Vallecas - La Gavia, Madrid",villa-de-vallecas,40.3552465,-3.588529,"avenida del Ensanche de Vallecas, 106, Madrid, España",True
"Piso en calle de las Fraguas, Casco Histórico de Barajas, Madrid",barajas,40.473122,-3.5754383,"calle de las Fraguas, Casco Histórico de Barajas, Madrid, España",True
"Piso en calle Lucano, Canillejas, Madrid",san-blas,40.4390407,-3.611289,"calle Lucano, Canillejas, Madrid, España",True
"Piso en calle de Berna, 1, Guindalera, Madrid",barrio-de-salamanca,40.311134,-3.8673403,"calle de Berna, 1, Madrid, España",True
"Piso en calle Algaba, San Isidro, Madrid",carabanchel,40.3916601,-3.7370389,"calle Algaba, San Isidro, Madrid, España",True
"Piso en de Maudes, Nuevos Ministerios-Ríos Rosas, Madrid",chamberi,40.4459234,-3.7009444,"de Maudes, Madrid, España",True
"Piso en calle de la Violetera, Palomeras Bajas, Madrid",puente-de-vallecas,40.3792141,-3.6562846,"calle de la Violetera, Palomeras Bajas, Madrid, España",True
"Piso en calle de Eguilaz, Trafalgar, Madrid",chamberi,40.4293521,-3.700595,"calle de Eguilaz, Trafalgar, Madrid, España",True
"Piso en calle de Peña Ubiña, San Diego, Madrid",puente-de-vallecas,40.3922796,-3.6674239,"San Diego, Madrid, España",True
"Dúplex en calle de Manuel Gutiérrez Mellado, Valdebebas - Valdefuentes, Madrid",hortaleza,40.4948298,-3.6199684,"calle de Manuel Gutiérrez Mellado, Madrid, España",True
"Piso en calle de Juan de Urbieta, 63, Niño Jesús, Madrid",retiro,40.4100084,-3.6734821,"calle de Juan de Urbieta, 63, Niño Jesús, Madrid, España",True
"Piso en calle de San Mariano, Canillejas, Madrid",san-blas,40.4438378,-3.6131079,"calle de San Mariano, Canillejas, Madrid, España",True
"Piso en calle Casarabonela, San Fermín, Madrid",usera,40.3686699,-3.688989,"calle Casarabonela, San Fermín, Madrid, España",True
"Piso en calle de Embajadores, 96, Acacias, Madrid",arganzuela,40.4026763,-3.7009335,"calle de Embajadores, 96, Acacias, Madrid, España",True
"Piso en calle De La Ciudadanía, Los Rosales, Madrid",villaverde,40.3566349,-3.6896507,"calle De La Ciudadanía, Los Rosales, Madrid, España",True
"Dúplex en calle de Lavapiés, Lavapiés-Embajadores, Madrid",centro,40.411365,-3.7029033,"calle de Lavapiés, Lavapiés-Embajadores, Madrid, España",True
"Estudio en travesía Andrés Mellado, Gaztambide, Madrid",chamberi,40.4348077,-3.7137754,"travesía Andrés Mellado, Gaztambide, Madrid, España",True
"Ático en calle de Juan de Austria, Trafalgar, Madrid",chamberi,40.4330436,-3.699583,"calle de Juan de Austria, Trafalgar, Madrid, España",True
"Piso en avenida ensanche de Vallecas, 89, Ensanche de Vallecas - La Gavia, Madrid",villa-de-vallecas,40.3631076,-3.5977733,"avenida ensanche de Vallecas, 89, Madrid, España",True
"Piso en calle de Alcalá, Quintana, Madrid",ciudad-lineal,40.4373728,-3.6392899,"calle de Alcalá, Quintana, Madrid, España",True
"Chalet pareado en Tres Olivos - Valverde, Madrid",fuencarral,40.426213,-3.7009931,"fuencarral, Madrid, España",True
"Piso en calle del Alcalde Sainz de Baranda, Niño Jesús, Madrid",retiro,40.4166603,-3.6729116,"calle del Alcalde Sainz de Baranda, Niño Jesús, Madrid, España",True
"Chalet adosado en Otoño, 4, Rejas, Madrid",san-blas,40.4448868,-3.5720332,"Rejas, Madrid, España",True
"Piso en paseo de Santa María de la Cabeza, Moscardó, Madrid",usera,40.3895703,-3.7123393,"paseo de Santa María de la Cabeza, Moscardó, Madrid, España",True
"Dúplex en calle de Claudio Coello, 125, Castellana, Madrid",barrio-de-salamanca,40.4336291,-3.6856403,"calle de Claudio Coello, 125, Castellana, Madrid, España",True
"Estudio en calle de Ramón Azorín, Los Cármenes, Madrid",latina,40.4032663,-3.7428736,"calle de Ramón Azorín, Los Cármenes, Madrid, España",True
"Ático en calle Mata del Agua, 4, Casco Histórico de Vallecas, Madrid",villa-de-vallecas,40.3702017,-3.6228507,"calle Mata del Agua, 4, Casco Histórico de Vallecas, Madrid, España",True
"Piso en calle de Clara del Rey, 55, Prosperidad, Madrid",chamartin,40.4402763,-3.6734229,"calle de Clara del Rey, 55, Prosperidad, Madrid, España",True
"Piso en puerta del Sol, Sol, Madrid",centro,40.416863,-3.7038762,"puerta del Sol, Sol, Madrid, España",True
"Piso en calle Maestro García Navarro, Ensanche de Vallecas - La Gavia, Madrid",villa-de-vallecas,40.3709866,-3.6132187,"Ensanche de Vallecas - La Gavia, Madrid, España",True
"Dúplex en calle de Pizarro, 6, Malasaña-Universidad, Madrid",centro,40.4227884,-3.7061086,"calle de Pizarro, 6, Malasaña-Universidad, Madrid, España",True
"Piso en Almendrales, Madrid",usera,40.3843762,-3.6992931,"Almendrales, Madrid, España",True
"Piso en calle de la Fe, 3, Lavapiés-Embajadores, Madrid",centro,40.4089349,-3.6996987,"calle de la Fe, 3, Lavapiés-Embajadores, Madrid, España",True
"Piso en calle Puerto de la Cruz Verde, 40, Legazpi, Madrid",arganzuela,40.3839874,-3.6862956,"calle Puerto de la Cruz Verde, 40, Legazpi, Madrid, España",True
"Piso en calle de Sierra Elvira, 32, Numancia, Madrid",puente-de-vallecas,40.4049143,-3.6603503,"calle de Sierra Elvira, 32, Numancia, Madrid, España",True
"Piso en calle Infantas, Chueca-Justicia, Madrid",centro,40.4205137,-3.6990174,"calle Infantas, Chueca-Justicia, Madrid, España",True
"Piso en Pisco de los Artilleros, Vinateros, Madrid",moratalaz,40.4051965,-3.6415467,"Vinateros, Madrid, España",True
"Piso en calle de Tordegrillos, 60, Villaverde Alto, Madrid",villaverde,40.3444317,-3.7164011,"calle de Tordegrillos, 60, Villaverde Alto, Madrid, España",True
"Estudio en calle Mazo, Pueblo Nuevo, Madrid",ciudad-lineal,40.4312486,-3.633966,"calle Mazo, Pueblo Nuevo, Madrid, España",True
"Piso en calle de Hermosilla, 101, Goya, Madrid",barrio-de-salamanca,40.4259668,-3.6743929,"calle de Hermosilla, 101, Goya, Madrid, España",True
"Piso en calle de Ferraz, s/n, Argüelles, Madrid",moncloa,40.4318243,-3.7228166,"calle de Ferraz, s/n, Argüelles, Madrid, España",True
"Piso en calle Zuera, Simancas, Madrid",san-blas,40.4296595,-3.626479,"calle Zuera, Simancas, Madrid, España",True
"Ático en calle Embalse de Valmayor, Ensanche de Vallecas - La Gavia, Madrid",villa-de-vallecas,40.3709866,-3.6132187,"Ensanche de Vallecas - La Gavia, Madrid, España",True
"Piso en calle de Benicarló, 12, Campo de las Naciones-Corralejos, Madrid",barajas,40.4664491,-3.589267,"calle de Benicarló, 12, Madrid, España",True
"Piso en calle Doctor Fourquet, 29, Lavapiés-Embajadores, Madrid",centro,40.4071358,-3.6986957,"calle Doctor Fourquet, 29, Lavapiés-Embajadores, Madrid, España",True
"Ático en avenida de la Ciudad de Barcelona, Adelfas, Madrid",retiro,40.3987962,-3.6701081,"avenida de la Ciudad de Barcelona, Adelfas, Madrid, España",True
"Piso en calle de Morejón, Almagro, Madrid",chamberi,40.4374788,-3.6986498,"calle de Morejón, Almagro, Madrid, España",True
"Ático en San Bernardo, 126, Trafalgar, Madrid",chamberi,40.4324786,-3.7045732,"San Bernardo, 126, Trafalgar, Madrid, España",True
"Piso en calle de Alcalá, 211, Guindalera, Madrid",barrio-de-salamanca,40.4316558,-3.6606736,"calle de Alcalá, 211, Guindalera, Madrid, España",True
"Piso en calle Sierra de Alquife, 30, San Diego, Madrid",puente-de-vallecas,40.3878703,-3.6652157,"calle Sierra de Alquife, 30, San Diego, Madrid, España",True
"Piso en calle del Pinar de San José, 30, Pau de Carabanchel, Madrid",carabanchel,40.3643952,-3.7615071,"calle del Pinar de San José, 30, Madrid, España",True
"Chalet adosado en calle de Ampelido, Puerta del Ángel, Madrid",latina,40.4093544,-3.7337422,"Puerta del Ángel, Madrid, España",True
"Piso en calle de Escalona, 91, Aluche, Madrid",latina,40.3958543,-3.762827,"calle de Escalona, 91, Aluche, Madrid, España",True
"Casa o chalet independiente en calle de Tremp, Ciudad Universitaria, Madrid",moncloa,40.4438005,-3.7264206,"Ciudad Universitaria, Madrid, España",True
"Casa o chalet independiente en calle de Castellón de la Plana, El Viso, Madrid",chamartin,40.4448882,-3.6847127,"El Viso, Madrid, España",True
"Casa o chalet independiente en calle Benita Ávila, 38, Canillas, Madrid",hortaleza,40.4618893,-3.6433517,"Canillas, Madrid, España",True
